CERTIFICATIONID,DESCRIPTION,JUSTICE
"123,637",Rolla School Anti Drug After Prom and After Graduation Programs,"7,000"
"123,637",St. James School Anti Drug After Prom and After Graduation Programs,"8,250"
"123,625",Parents for Megans Law,"12,686"
"123,625",S.P.C.A.,"1,879"
"123,593",Community Health Investment Program,"1,000"
"123,555",Professional Mediation Consultant - Officer Citizen disputes.,"9,575"
"123,544",Westlake Auxiliary Police,"3,445"
"123,513",DeKalb PAL PLUS,"2,363"
"123,513",YMCA South DeKalb,250
"123,513",Youth Leadership DeKalb,"5,000"
"123,470",Drug Awareness Programs/Will County Violent Crimes Task Force operational monetary support,"2,320"
"123,461",Countryside Neighborhood Watch/Expenses,130
"123,461",NYS Sheriff's Association/Kayaks,"4,886"
"123,461",Niagara Falls Block Club/Crime Night Out,"1,507"
"123,444",National Night Out Community Event /Drug Abuse Prevention,"2,089"
"123,419",Community Relations Back Packs,449
"123,395","Dan Beard Council Inc - 10078 Reading Rd - Cincinnati, OH  45241",500
"123,395","Greater Cincinnati Crime Stoppers - 824 Broadway 5th Fl - Cincinnati, OH 45202","1,000"
"123,395","Warren County Educational Service - 320 E Silver St - Lebanon, OH  45036","1,000"
"123,388","Beat the Heat, Inc.",150
"123,388",National Law Enforcement Museum,"20,000"
"123,353",National Law Enforcement Museum,"5,000"
"123,343","National Night Out, High School Prom promise","2,193"
"123,335",Drug Awareness Education for third grade students in Warren County,129
"123,258",Drug Court Conference,78
"123,258",Fingerprint Materials,5
"123,258",Red Ribbon Week Materials,"1,945"
"123,258",Safe Night Materials,455
"123,248",Safety Town.,43
"123,248",Shop with a Cop.,650
"123,245",Crime Prevention Materials,"1,893"
"123,237",Community Dream Center (Rev. Charlie Muller's Church),"31,383"
"123,090",ABBA Leadership Center,"3,974"
"123,090",Family and Children's Association,"10,000"
"123,090",Leadership Training Institute,"10,719"
"123,090",MADD-Long Island NY,"19,080"
"123,090",Molloy College,"23,357"
"123,090",National Mentoring Partner,938
"123,090",We Care For Children,"37,000"
"123,055",R DJ Specialties Inc. For Kids Program,201
"123,028",National Law Enforcement Museum,"10,000"
"123,018",CHRIST LUTHERAN CHURCH (DARE program),"15,000"
"123,018",CITYTEAM MINISTRIES,"1,000"
"123,018",DCCC EDUCATIONAL FOUNDATION,"5,000"
"123,018",DELAWARE COUNTY POLICE CHIEFS ASSOCIATION,800
"123,018",HERO SCHOLARSHIP FUND OF DELAWARE COUNTY,175
"123,018",SEPCA,"4,125"
"123,018",UPPER DARBY POLICE DEPARTMENT,"1,250"
"123,003",supplies for drug awarness,857
"122,980",NEORVA (Drug Awareness Program),500
"122,957",Purchased signs for National Drug Take Back Night,150
"122,951","JC Boys & Girls Club $62,000 & JC Recreation Foundation $13,100 & DARE Program Tees-Screen Styles $5,450.50","80,551"
"122,929",McGruff Safe Kids Identification Kits - Used by officers for various community programs,257
"122,911","New York State Sheriff's Association Institute, Inc.","1,399"
"122,909",National Law Enforcement Museum,500
"122,907",D.A.R.E. Magic Show for students at D.A.R.E. graduation ceremony,250
"122,907","Equipment to mark citizen valuables in case stolen (invisible pens, black light flashlights)",938
"122,907",Literature holder in lobby,401
"122,902",DARE Program,"1,598"
"122,865",DARE,"2,858"
"122,865",St James High School DWI Prevention Program,"1,250"
"122,854",DARE Program,"27,132"
"122,740",D.A.R.E.,"3,114"
"122,721",drug demand reduction-outdoor leadership program/HOFNOD,126
"122,633","Boys and Girls Club of Rochester, Inc.","18,866"
"122,627","VOCA - Expense for victims of crime - relocation expense,  emergency transportation, locksmith service, etc.","3,334"
"122,522",K-9 Kennel Insert for K-9 Patrol Vehicle,"2,113"
"122,431",CrimeStoppers,500
"122,431",DARE Program,923
"122,381",BCSN/Old Newsboys Shoe Bowl Crime Prevention Program,250
"122,360",City of Livonia-Emergency Service Program,"23,154"
"122,351",Drug Abuse resistance Education (D.A.R.E.),"1,000"
"122,326",Land of Lincoln Legal Assistance Foundation,"3,212"
"122,326",Veterans' Assistance Commission,"3,760"
"122,319",Sponsorship for Neighborhood Health Assoc. SisterCare Domestic Violence Seminar,"3,000"
"122,305",City of Willmar - Citizens - cabinets for housing AED's (Automated Electrocardial Devices) at two community locations in Willmar,367
"122,305","City of Willmar - Citizens -National Night Out - advertisement, drug phamplets, education, etc.  - Community Event",711
"122,285",Crimestoppers - Copyright services,450
"122,285",Survive Institute - Self defense seminar,"1,165"
"122,129",National Night Out,704
"122,075",Supplies for Gang Prevention Program,215
"122,073","Cisco Drug Awareness Program$1005.00 - Studio Display$1137.00 - 6' Display$1398.00 - Roll up Banner$383.00 - Brochure Stand$277.00 - Table Cover$165.00 - Carrying Case$120.00 - S & H Charges","4,485"
"122,063",FESTIVALS,377
"122,063",FIDELITY ASSOCIATES,844
"122,063",NEIGHBORHOOD WATCH,443
"122,063",PROJECT LIFESAVER,478
"121,972",Anderson Software,"2,199"
"121,972",Crime Reports,"2,388"
"121,972",Emerge,338
"121,972",YMCA of Elyria,"2,000"
"121,950","Children's bicycle helmets, (pre-approved)",297
"121,915",Greater Shiloh Church/Easton Police Department,"4,799"
"121,715",Drug Awareness/Juvenile Diversionary Program(ADAPT),"5,760"
"121,664",DFYIT ANTI DRUG,"3,500"
"121,664",NATIONAL LAW ENFORCEMENT FOUNDATION,"5,000"
"121,664",POLICE ATHLETIC LEAGUE,"4,000"
"121,664",SIB COMMUNITY SCHOOL,950
"121,386","Aransas Pass Little League ($500.00 for drug awareness sign.) Aransas PassHigh School Project Graduation ($500.00 for door prizes, television,electronics.) Aransas Pass Progress newspaper ($5668.01 Drug awarenessads) Coastal Bend Herald newspaper ($1500.00 drug awareness ads).","8,168"
"121,357","Community Activitiese expenses ie. parades & special events i.e. ""Critters by the Creek"" the K9 and officer are there for community awareness and educational purposes, literature for community events and school programs, id kits etc are purchased for several of the events and to distribute in the schools, candy for the parades.","2,000"
"121,355",Hook-a-Kid on Golf Chicagoland Golf Academy,861
"121,355",Hook-a-Kid on Golf Pro Bob Michaels,907
"121,355",Hook-a-Kid on Golf Pro Chris Vandernaald,"1,473"
"121,355",National Alliance,"1,030"
"121,329",Iditarod - Education and Awareness: Mentor/Teacher on the Trail and High Five,"28,024"
"121,316",Minuteman Youth Camp: Purchase uniform T-shirts that include antidrug message for campers and support staff.  The camp incorporates a strong antidrug nexus.,"4,017"
"121,266",Elementary Schools --  Education Books,552
"121,195",First Tee of Broward -  Lake Worth Golf & Academic Excellence Program,"6,195"
"121,195",Palm Beach County Police Athletic League,"6,342"
"121,195",Southern Police Institute,"10,000"
"121,180",Educational Outreach - Arts Emerging Program,"5,000"
"121,137",Consultants in Education and Personal Skills / ,800
"121,137",National Teen Leadership Program,"13,170"
"121,126","National Night Out - Supplies for Event, T-shirts,","3,816"
"121,027",Surf-Bal-Bay PAL,"10,000"
"120,989",Drug Free Campaign,"4,226"
"120,971",Drug Free Campaign Red Ribbon Week,"3,487"
"120,960",Central FL Safe T Team - nursing svcs for victims of sexual battery,"5,840"
"120,960",Challenge Coins - distribution SO values,"3,070"
"120,960",Community Annual Reports & Education for Community Services,"4,077"
"120,960",Haven of Lake & Sumter - domestic violence awareness/counseling 2 hrs per week,"3,240"
"120,960",Lo Jack - Project Lifesaver monitoring,"1,302"
"120,960",Thurgaland - public education video (for schools & community meetings),"9,850"
"120,943",National Night Out,"10,000"
"120,936",Bike Rodeo,214
"120,936",Citizens Academy,"1,234"
"120,936",Dare/Explorer Programs,"2,303"
"120,936",Secret Santa,459
"120,913",Crimestoppers,"5,000"
"120,908",Kids in Distress,"25,000"
"120,899",Equipment for State of Florida Office of State Attorney (Community Softball Tournament),725
"120,899","Glades County Schools, Crime Prevention Education Halloween Bags",430
"120,899",Public Relations Calendars,"2,247"
"120,899",Sponsorship Fees for Law Enforcement to participate in Local Criminal Justice Events,520
"120,889",Freedom Against Drugs,500
"120,884",Drug Education for Youth (DEFY) Program,"6,900"
"120,884",Texas ChalleNGe Academy,"20,519"
"120,884",Texas STARBASE,"11,733"
"120,876",SCHOOL RESOURCE OFFICERS,"513,000"
"120,855",The National Law Enforcement Museum,"1,000"
"120,845",Maitland Soccer and Little League,"4,000"
"120,841",Fishing Rodeo (drug prevention program for kids),48
"120,839",Youth United for Success Mentoring Outreach Program,"6,000"
"120,819",Cobb County Safety Village-purchase of logo on the electric car,"5,500"
"120,815",Explorer/Cadet Program,"9,323"
"120,815",National Law Enforcement Officers Memorial Fund,"1,000"
"120,813","Black on Black Crime Task Force (Computer Equipment - High Risk Youth at Reichert House) Cleaning Services (vocational training for the at risk youth) of the Reichert House through Black on Black on Crime Task Force Inc","17,259"
"120,813","Reichert House (Computers for Police Explorers, Recording Studio Equipment for PSA - youth program).","8,946"
"120,765",National Law Enforcement Museum,100
"120,735",Cops and Kids Youth Center and Cops Program,"61,599"
"120,722",A Child is Missing (Safety and Education Program for Local Youth) training materials,500
"120,705","Crime Stat Website, IACP and Blue Book Directories","1,277"
"120,705","National Night Out, Red Ribbon Day, Crime Watch Meetings, DARE Graduation and T-Shirts, P.A.A.L. Movie Night, Halloween Candy","4,386"
"120,705",P.A.A.L. Telephone Service and Van Repairs/Maintenance,"1,756"
"120,641",DRUG PREVENTION PROGRAM,"3,481"
"120,612",Family Concepts LTD,"2,149"
"120,581",First Coast Crime Stoppers,"2,500"
"120,567",Oregon Youth Challenge (toward purchase of a bus for students),"5,000"
"120,565","Drug Awareness, Resistance and Education (D.A.R.E. Program)","4,677"
"120,565",National Night Out/Safe Neighborhood Program,"8,233"
"120,565",Police Resource Officer Program,"311,000"
"120,531",Children's Advocacy Center of Osceola County,"10,000"
"120,531",Crime Line's Kicks for Guns Campaign,"3,000"
"120,531",National Law Enforcement Memorial Fund,"1,000"
"120,500",Boy Scouts of America Conference,"1,000"
"120,500",Police Athletic League Sports Programs,"19,426"
"120,500",Project Connect Youth Basketball - Sheriff Program,"4,375"
"120,500","School EdAdvantage, Teen Driver, & Advocate Training Programs ","2,005"
"120,383","Potter County Sheriff's Office - Citizen's Academy, Kid Print","3,991"
"120,375",Community Service crime prevention/awareness give aways,"2,763"
"120,375",Movement for Change  youth crime prevention/awareness/education,"4,300"
"120,375",National Night Out program,282
"120,375",Neighborhood Watch/Speed Signs,800
"120,375",Pensacola Police Explorers Programs,"3,656"
"120,375",Public Safety Announcements-Crime Prevention/Education,"6,267"
"120,375",Sponsorship of Trauma Intervention Program (TIP) and programs for battered women,"3,000"
"120,375",Youth Sports Programs-Crime Prevention/Awareness/Education/Anti-gang Initiative,"3,193"
"120,313",Talladega County Schools for Teaching on Drug Awareness/Abuse & Violent Crimes,119
"120,305",Mobile storefront trailer,17
"120,305",National Child ID,"1,018"
"120,305",Red Ribbon,"5,180"
"120,305",Skywatch trailer,182
"120,266",Community Service Law Enforcement Mascot,"1,650"
"120,266",Crime Stoppers of El Paso,100
"120,266",Jennifer Ann's Group Teen Violence,500
"120,266",Third Generation Martial Arts Student Sponsorship,265
"120,262",Gang Reduction Campaign,"7,750"
"120,262",Santa Rosa Kids House,"2,210"
"120,239",DFYIT - Drug Free Youth In Town,"20,000"
"120,221",Citizen Police Academy--Normandy Police Department,543
"120,220",BOYS AND GIRLS CLUB OF JASPER,"2,000"
"120,201",Uniform and apparel,"10,000"
"120,175",Bonner County Drug Court,"4,765"
"120,119",Family Concepts - children's books - drug education,258
"120,119",Golden Spread Council Boy Scouts of America,"1,280"
"120,119",High School Student Academy ,"1,071"
"120,119",Randall County Citizens Academy ,"1,720"
"120,081","Explorer Post 61/06Kicks For Guns","3,669"
"120,049","Drug Demand Reduction and Substance Abuse Programs","18,129"
"119,983",Irving Police Department Summer Hoops Program,"1,750"
"119,967","Halloween in the park, Anti-Drug Advertisements, and Anti-Drug Project.","2,811"
"119,966","Anti drug ads, public education brochures, and anti drug project.","3,053"
"119,930","DDR PROMOTIONAL ITEMS (DOG TAGS, PENS & PENCILS)","3,124"
"119,930",RED RIBBON CAMPAIGN,"7,391"
"119,910",Contribution to Palm Beach Gardens High School Project Graduation as part of our teenage drunk driving and drug abuse prevention efforts.,600
"119,910","Purchase of crime prevention educational items to display and to distribute during National Night out, homeowners association meetings, neighborhood watch programs and select crime prevention efforts.","4,264"
"119,876",Crime Stoppers,"2,000"
"119,859",Crime Stoppers,"10,000"
"119,859",Crime Stoppers (Plaques),310
"119,859",Who Dey  (Star Program Shirts & Supplies),"10,883"
"119,813","After School Assistance Program(TV-VCR, Projector Screen, Basketball Goal System, Board Games","2,125"
"119,799",Citgo-Convenience Store Door Lock-Receipt Submitted,500
"119,785","Guadalupe County Child Advocacy Center, Crime Stoppers","5,649"
"119,779",National Law Enforcement Officer Memorial Fund,250
"119,766","Family Concepts, Ltd.","1,860"
"119,750",Boys & Girls Club of Volusia County,"1,500"
"119,750",Crime Stoppers,600
"119,750",Futures Foundation,"1,000"
"119,750",Leisure Services OHHO Neighborhood Swim Team,300
"119,750",Motivator's Program,"1,164"
"119,750",Police Athletic League,"10,000"
"119,750",Rose Marie's Bryan Children Center,"1,000"
"119,750",Stewart-Marchman ACT Behavioral Healthcare,500
"119,750",Youth Baseball Leadership Program,"1,500"
"119,635",LOCAL SCHOOL CHILDREN,"2,069"
"119,491",Purchased AED for Life Saving,"5,951"
"119,430","""Stop the Pain 904"" Program","3,977"
"119,430",Police Athletic League,"25,000"
"119,262",That Spinny Thing,"1,000"
"119,178",Community Police Meetings,60
"119,178",Family Day in the Park Community Health/Drug Awareness Fair,"5,000"
"119,145",DARE Program ,"2,480"
"118,972",School kids & Citizens,496
"118,824",Bridgeview Police D.A.R.E / Character Counts,"1,701"
"118,775",Substance Abuse Task Force in Rural Appalachia (S.A.T.I.R.A.),"45,740"
"118,731",LANCASTER COUNTY CHILD ADVOCACY CENTER,"1,994"
